age,location,ethnicity,occupation,status,description,scam,age_group,country
24,"Chur, Switzerland or Tampa, Florida, United States",native american,other,single,"I will like to tell u that am a Sensitive women,Am Honest,Kind,Caring, and truthfully..I seek for a true and Serious relationship that will last forever.I don?€?t play games and I am looking for a serious relationship with marriage being the ultimate goal",1,21-30,United States
63,"Newport, UK",white,retired,divorced,"I am an easy go lucky guy. I hate scammers, many here have tried and failed. So, if you are genuine, please don't hesitate to contact me.

I am an easy and lucky guy. I hate scammers, many here have tried and failed. So if you are genuine, feel free to contact me.",0,61-70,United Kingdom
31,"Joliet, Illinois, United States",white,other,single,"i am here seeking for a long term relationship that will lead to marriage some day, i love listening to music,",1,31-40,United States
50,"Rotterdam, Netherlands",asian,engineering,divorced,"Hi, I am from Singapore. I have been working here for 2 years now. I intend to stay and live here. Looking for friends , relationship. Hope to meet you soon.",0,51-60,Netherlands
43,"Allentown, PA, USA",mixed,tourism,single,Love to travel try new things food etc DANCEHALL music is my heart,0,41-50,United States
45,"Galway, Ireland",white,carer,single,"I am a fairly simple person, with the ability to enjoy every moment",0,41-50,Ireland
57,"istanbul, Turkey",white,self-employed,divorced,"I?€?m just a normal person. I love to laugh and joke around. I love being in the outdoors.I love life. And live it to the fullest.I am Honest, Faithful, Loyal, down to earth, and I enjoy the simple thing?€?s in life.
I need someone who could possibly make me smile after so much pain from my recently relationship.
I?€?d like to find someone I look at everyday and be in shock that I found the one person that fits in my life. she would have to be smart and funny. I like to travel so the perfect match would have to as well.",1,51-60,Turkey
28,"Miami, Florid, United States",white,carer,single,"As they say, everything should be beautiful in a beautiful lady. It seems to me, the real beauty consists of harmonic connection of soul richness, moral clearance and only after these ones of the physical appealing to the partner. In other words, appearance is only our outside dress. The real and natural beauty is inside of our soul ?€? somewhere deep in the soul and it reflects in the eyes. I will not describe myself cause it seems to me that the really interesting lady will be noticed by the deeds and modesty and slight enigma, won?€?t she? But in a few words I can tell you that I am a person with a strong will, serious, reasonable, and reliable but at the same time I am kind-hearted, attentive and friendly.
I would like to meet a serious, clever and intelligent man. A strong man with a strong will with whom I will be able to feel myself weak and at the same time the most beloved, the most desirable, and the happiest lady. I want to find a reliable man who will be like a strong column for me and who will share all the joys and sorrows. I want him to be active enough, because I am active as well and I want my man share with me some of my hobbies. I want to create with him our small world full of trust, mutual understanding and of course love. I am ready to tie my life exactly with such man and to give all my love and me to such a man.",1,21-30,United States
39,"Baldwin Place, New York, United States",native american,medical,single,"I love friends and family, I am a lot of fun and make friends easily. I love life, love my family and still have some love to share with a special people. Life can be lonely without someone?€?I am a person who is very real when it comes to life and its?€? issues. Am honest,kind caring, affectionate,good sense of humor,easy going,free thinker,trustworthy and respect the lives of other people?€?..I?€?m a woman that is living life as it comes to me. I don?€?t worry about tomorrow, for it will be here no matter what I do.",1,31-40,United States
64,"Bogot??, Colombia",hispanic,other,separated,"Serious, entrepreneur, social work, travel, music, literature, writing. jovial.",0,61-70,Colombia
31,"Santiago, Regi??n Metropolitana, Chile",white,engineering,single,"I am a 28 year old Engineer. I graduated 2 years ago and in this time I have dedicated myself to getting to know America better. I started working part-time but now I'm working full-time. Anyway, I'm here because I want to meet someone.",0,31-40,Chile
27,"Ipil, or General Santos, or Pagadian, Philippines",asian,other,single,"o say that I?€?m just young and beautiful girl, it says nothing about me. I?€?m many sided person. I hope a lot of interests. The way to a man?€?s heart is through his stomach, so I hope I will find this way to my man, because I can cook very well. My inner world is very various. I like music, movies, sport. Also I?€?m interested in fashion and stile, my dream to be designer. I think I can be very interesting for my man. I love to meet new people and communicate with them about new things My character is perfect! No, truly, I?€?m very easy-going and friendly girl! Wink I like to smile, to be in high spirits and inspire everything around. I?€?m reliable and trustworthy; I?€?m a very good friend: patient, attentive and optimistic. My positive energy makes my life interesting and beautiful. I would like to share it with my beloved man. I haven?€?t found my beloved yet, he must be somewhere here, I feel it! Maybe, it?€?s you?",1,21-30,Philippines
32,"Devon, United Kingdom",mixed,other,single,"I am some one who tries to live fully each day.Not waste any time focused on the negatives and what ifs, accept people for who they are and where they are at. Relish the times with friends and family. I have a compassionate heart for ?€?most?€? people. Probably a little too trusting and gullible at first. I love to challenge myself with knew knowledge and yet go deeper with God everyday in time for prayer and meditation. I love to sing , it makes me feel carefree and childlike, a great way to express myself. I love and care deeply and have found in being that way that forgiveness is the key to truely loving others and mostly forgiving myself.",1,31-40,United Kingdom
68,"Albuquerque, NM, USA",hispanic,other,divorced,"Active, Assertive, Charismatic, Confident, With a sense of humor, Conservative, Creative, In love, Extroverted, Honest, Intelligent, Optimistic, Romantic, Sincere, Sensitive, Friendly, Hardworking



More About Me:



(Main Features and Activities I Like)
I am a gentleman in all ways, who respects women and likes to complement. A Romantic, who likes to regulate flowers, sweets and also after meeting her, those things that he likes.
I believe that a man should always open the door for a woman. I am good, generous, loving, simple, adventurous, an academic intellectual, humorous, who likes to ask for smiles; vulnerable by being honest.
Not religious, but spiritual. It always challenged me and I look for new adventures to challenge and improve myself. I have many interests and a passion for living; I believe that life should be enjoyed with all your heart.
I enjoy all kinds of music, dancing, traveling, communication, taking walks in the cool of the afternoon and much more.",0,61-70,United States
52,"Glasgow, United Kingdom",white,military,single,"i am an open, laid back, funny but also serious easy going man, life is too short to be sitting around miserable so i live each day without regrets and make myself useful to as many as i can be help",1,51-60,United Kingdom
51,"New York, United States",white,other,single,am honest and faithful man i like football and table tennis,1,51-60,United States
47,"Gombak, 68100 Batu Caves, Selangor, Malaysia",mixed,other,divorced,Simple and straightforward person. Looking for second chance in life.,0,41-50,Malaysia
36,"Las Tunas, Cuba",hispanic,carer,divorced,"I am happy, fun, I like sincerity. Dancing, talking, going to the movies, I don't want games, I'm looking for a serious relationship, sot normal, little by little I like to show who I am.",0,31-40,Cuba
31,"Keuruu, Finland",asian,sales,single,"I can describe myself as a trustful, emotional, calm, serious, tidy, purposeful, friendly, sincere, thrifty, sexy, patient, persistent, sacrificial, responsible, accurate and honest. I have a lot of friends who say that I am a communicative, modest, sensitive, sentimental, calm, democratic, reasonable, romantic woman.",1,31-40,Finland
41,"Houston, Texas, or Albany, New York, United States, or Cozumel, Mexico",white,military,single,"I like family life but just missing that woman to complete it. All i have ever wanted is to be settled in a good relationsh ip/marriag e for life. I?€?m very caring,loving and loyal, thou ghtful,rom antic down to earth kinda person. I have a lot of love to give to the right person. Need a family orientated woman,honest ,godly,fun ny,caring woman.
I am seeking a sweet, attractive woman who loves the Lord, a woman I can love unconditionally, devote myself to, pray with, protect, and to have a very close, loving, lasting relationship with. I want a woman who will become my best friend, soul mate, wife, and mother for our children. I want her to be loving, faithful, affectionate, kind, considerate, unselfish, sweet, romantic, sincere, with a sense of humor, and some intelligence.",1,41-50,Mexico
35,"Oslo, Norway",white,other,single,"I love to play golf and I enjoy chillin` with my friends/family , I like going to the movies , or watching movies in my room , I like swimming , fishing, listening to music and dance to any kind of music, traveling , going bowling and also a good cook.I am a family oriented person and There is more, but it would be better for you to find some things out for yourself",1,31-40,Norway
28,"Chicago, Illinois, United States",white,self-employed,divorced,"Am a woman with love and caring heart seeking for loyal,honest and faithfulness man",1,21-30,United States
55,"Peever, South Dakota, or Morton Grove, Illinois, United States",white,manager,widowed,talk2devid@yahoo.com,1,51-60,United States
57,"Philadelphia, PA, USA",black,carer,single,i would like to Produce music and give back to my community and make homes for the homeless and make community Centers for the kids and for those who are on drugs and alcohol,0,51-60,United States
57,"Pinar del Rio, Cuba",hispanic,academic,single,"I am a mature, responsible, cheerful woman, my spontaneity characterizes me, I enjoy reading, cinema, theater, I love dancing, the sea, watching the sunset, I am affectionate, attentive and very faithful to the people I love",0,51-60,Cuba
46,"Arequipa, Per??",mixed,engineering,single,"I like to help people BE SUPPORTIVE, design, read, train, shamanism meditation, I love music, mountains and especially nature, seek eco-village autonomy, I do not consider myself from any country, I respect the most ancient traditions since I am on their side of the Altiplano and Scandinavia as oldest roots, I consider myself a free settler",0,41-50,Peru
47,"Buford, Georgia, United States",white,self-employed,widowed,"My friend said i am a shy person ,,I am humble ,friendly and i have a good sense of Humor ,I love kids ,I cannot do without God because i am a believer ,I love to swim ,go camping ,watch movies and also like to ride ,I am an adventurer and i love listen to people to learn because i believe education is every were it does not mean you must be in high school or college ,,I am God fearing and i am a kind man ?€?I love to help others in need ?€?",1,41-50,United States
60,"Valencia, Spain",asian,other,single,I have a real broad interest and love nature and sports,0,61-70,Spain
30,"Liverpool, or London, United Kingdom",white,carer,single,am a very easy going man caring loving understanding heart open am here for serious relationship i believe there;s no serious relationship without friendship am ready to give love a try again so we both can be happy for finding each other,1,31-40,United Kingdom
35,"Kiev, or Donetsk, Ukraine, or New York, United States",white,beauty,divorced,"Well, actually I don?€?t like characterizing myself but want you to know that I?€?m full of love, passion, care, energy, kindness and intelligence woman who wants to share all these traits with her
beloved. I?€?m quite optimistic and cheerful, honest and faithful. In one word, I?€?m the one you?€?re looking for;)
Are you looking for love, long-life relations, marriage and happy family? Are you loving, caring, reliable, attentive, honest, faithful, ready to create the family? Do you want kids and ready to bring up my daughter as your own? If all your answers on my questions are YES, then you are the man I?€?m looking for;)",1,31-40,United States
32,"Pucallpa, Per??",hispanic,engineering,single,"I am a professional person, I work and I am a happy person, fun, romantic and thoughtful. I love to dance.",0,31-40,Peru
34,"Cartagena, Provincia de Cartagena, Bol??var, Colombia",hispanic,other,single,"I am a beautiful lady of 29 years, excellent bearing, tall, educated, I like to share dancing... I have a somewhat strong character, I like clear things, NOO I walk with lies. In the end, I am a Love.... OJOO............ OJOOOOO Married men should abstain...",0,31-40,Colombia
49,"Dallas, Texas, United States",hispanic,self-employed,divorced,"I like to workout fish, hunt, the outdoors camping and all sports, I?€?m an honest man faithful lovable respectful passionate affection and extremely romantic man. I love to cook and take great care of my lady,",1,41-50,United States
53,"Los Angeles, California, United States",white,military,single,"I?€?m Passionate about life, social justice, nature, God Fearing. Broad-minded, well-educated and informed, intellectually curious, articulate. I consider myself a man of good moral character, sincere and warm, compassionate and romantic. Fun-loving, very energetic, emotionally and financially stable, Loving, supportive, loyal, communicative, I?€?m attractive, and have a good sense of humor. Independent, responsible, professional. Introspective, thoughtful, caring. I enjoy most music, especially blues. Theatre, movies, reading, gardening,friendly, open. Love to walk, bike, dance, read, cook, , travel, go to movies, theater, lectures, concerts, and poetry readings. Am mechanically and directionally challenged. Healthy and fit, Laughter and smiles are important to me.",1,51-60,United States
45,"Cochabamba, Bolivia",mixed,other,single,"I am a woman looking for someone to share moments with.
I like to dance, walk, travel",0,41-50,Bolivia
51,"Abbotsford, Canada",white,military,single,"I am a very happy person, I like to have fun, walking, travel, play and smile. I am happy when I see a person around me comfortable. My hobbies are horseback riding, baseball, golf, music, reading, playing with animals, etc. I hate dishonesty and ruthless because life is full of errors and corrections. I love to laugh very often because it is one thing that keeps me going in life.",1,51-60,Canada
65,"Ciudad de la Costa, Departamento de Canelones, Uruguay",white,retired,widowed,"I have a determined life, I love traveling and learning about other cultures.
I am pragmatic but sensitive and generally good humored.
I am like a second-hand Cadillac but with the engine like new and without emotional dents or noise in the gearbox",0,61-70,Uruguay
35,"Limburg, Netherlands",white,engineering,single,am a good looking girl seeking for some sone that will bring a meaning to my life am a good looking girl seeking for some sone that will bring a meaning to my life,1,31-40,Netherlands
27,"New York, United States",mixed,teacher,single,i am simple and loving caring young lady who enjoy watching tv and sports,1,21-30,United States
51,"Birmingham, Alabama, United States",white,self-employed,widowed,"I am affectionate, confident, and kind with a great sense of humor. I am very independent, but still enjoy a woman who believes in me opening doors and pulling out chairs.What do I want in a great (but not perfect) match? Kindness, honest communication, a sense of humor and lots of affection. I find intelligence very attractive and I believe that who we are is more important than what we can do. You will have your hobbies and I will have mine. It is important to find some common ground and share hobbies, but it?€?s more important to me to learn about you as a person. One day we will not be able to climb Mt. Everest and jump out of airplanes!:-), so knowing and
understanding each other, and being able to be together is what it?€?s really all about!
I do have a serious side. In a world where kindness, honesty and doing the right thing seem to have taken a back seat, I am proud to report that I am still sitting in the front. These values are very important to me and I would like to find someone who shares them.Do you enjoy traveling? It?€?s definitely on my bucket list. I would love to travel to places where I can see both history and the present culture of our world.Music is my passion. I play everything from blues to Jethro Tull to classical to soul. I played in a band for seven years and really miss it. Maybe a classic rock band is in my future.I am still a pretty good cook!",1,51-60,United States
21,"Salt Lake City, Utah, United States",white,self-employed,single,"My friends would say I?€?m easy to get along with, quirky, honest, fun, outgoing and respectful. I?€?m looking for my best friend and someone who can put a smile on my face and loves family. I don?€?t spend much time on here but If you are this man please feel free to text and wink, I would love to talk more.Speaking of numbers follow the numbers as i label and send a text if you think you?€?ve figured it out. (9). Honesty (0). Love (9). Happiness (4). Trust (5). Commitment (4). Communication (3). Believe (8). Romance (0). Faithful (3) Trustworthy.",1,21-30,United States
46,"??stanbul, Turkey",black,other,single,I am a fun person... happy and calm... I like to dance a lot... share with my friends and I am very affectionate and very responsible with my things... I like to see my girl happy and I always try to bring out her best smile...,0,41-50,Turkey
28,"Toledo, Ohio, United States",white,carer,single,"Let me introduce myself first.I am an outgoing person who is also very understanding loving and caring. I my spare time, I like reading, listening music, watching movies and doing sports. How about you? Have you ever taste VN food? Do you like? If you like, i hope that i can cook for you one day.I really hope that you would like the letter i sent to you. If you are also interested in me",1,21-30,United States
49,"Palo Alto, Catalonia, Spain",white,engineering,widowed,williamsparker49@yahoo.com,1,41-50,Spain
25,"New York, United States",white,tourism,single,"I love beautiful things, love to have fun in the moment and am always dreaming bigger! Friends and family are super important to me. I am chirpy, fun and I like spontaneity and good grammar. I love to write?€?I mean really really love to write and barely go a day without doing it in some way?€?I am a verypassionate person and so often am too full on for some people. I am fascinated with human interaction and computer mediated communication and why people do the things they do. I collect typewriters, enjoy philosophical conversations and star gazing. I take on too much all the time and pole dancing is my sport of choice.",1,21-30,United States
35,"Porto, Portugal",white,technology,single,"I'm kind, romantic, handsome and tall.
I speak english, portuguese, spanish and french.
I'd like to find a girlfriend to be my future wife",0,31-40,Portugal
32,"Valley, Alabama, United States",native american,carer,single,"I?€?m a very passionate and romantic lady and not afraid to show my affections in private or public. I am very clean and like seeing things and people clean as well. I will always treat my man well and with respect and love and cherish him.I?€?m very easy going and down to earth.I Believe that a strong relationship is not based only on sex life but that a strong relationship builds a strong love life that leads to a strong and great sex life and can only happen with open communication,trust and commitment and constantly working together and being honest with my man. 9 2 8 4 3 2 7 5 2 9",1,31-40,United States
42,"La Paz, Bolivia",white,legal,single,I am a person who believes in God and believes in him....,0,41-50,Bolivia
50,"Miami, Florida, United States",white,engineering,widowed,"I am looking for that connection,that chemistry we all speak of when we meet.Phone conversations are okay,but meeting in person is how we really will know if we each hit the jackpot. I am a very passionate and very affectionate person,love romance and like a lot of kissing and hugging and cuddling in a relationship,so if you are not that way and don?€?t love those things too,then we will definitely not be a good match. I have a very youthful appearance.Always told I look younger than my age.I feel young,dress young and act young too..I?€?m a big football fan, i love manchester united,but i don?€?t hate the other teams and don?€?t mind at all if you?€?re a fan of the enemy-it will makes things more fun when they play each other.I like to watch the games but not at the expense of being with my partner. I love the sun,love the beach and the ocean. I like to go out and love to have fun.I am totally flexible and enjoy doing many things.I am always open to new experiences and love to try new things. Im an energetic outgoing and social person.As long as im with my soul mate it doesn?€?t matter where we are or what we are doing,it matters that we are together.",1,51-60,United States
28,"anthioch,tenneessee, United states",white,carer,single,"am a good looking girl free and reliable in the society, like to meet true friends.",1,21-30,United states
21,"New York, United States",white,military,single,"No games, no cheating, I am romantic and I want my man to be capable of showing his affection. I believe that love exists and a man has a great chance to always demonstrate it by different means. I like to be adored and spoiled in a good way. I like a quality courtship, I want my man to conquer my heart and mind and I promise to give my heart full of love that never ends",1,21-30,United States
37,"Yerevan, Armenia",white,other,divorced,I am spiritual vegitarian who wants to find her love,0,31-40,Armenia
36,"London, United Kingdom",white,other,single,am 32 years living alone looking for aman with long term relationship who will take care of me and we will got married together,1,31-40,United Kingdom
62,"London, United Kingdom",white,contractor,single,"My Name Is Jerome Silver,I am From England,an International Contractor In Oil Servicing and drillage. I Love Making Good Friends and sharing ideas with Good people,I am romantic,caring,tolerance,making people happy.",1,61-70,United Kingdom
35,"Akershus, Norway, or Stockholm, Sweden",white,other,single,"Mixed, Father is from Netherlands and Mother is from Bergen in Norway. I?€?m looking for a serious relationship and Nothing less but maybe more if the chemistry is right and it is based on reciprocity. Desire to know me? then trust yourself and write me. SKkYyPpe- sophie.andersen01",1,31-40,Sweden
41,"Chicago, Illinois, United States",white,government,widowed,"I have a very big personality and I believe in living life out loud. I love to laugh and have a pretty serious comedy habit. I like cuddling with my dog, and my niece & nephew. I love to cook. I am pretty good at it too. I enjoy being around people. People are my thing. I like deep conversations about feelings and experiences. I have been told I would make a great life coach and/or therapist. I am very random and have a love for odd things.I have a lot of energy!! I am on here just to dip my toe in the dating pool. Ultimately, I want a long term relationship. Good luck to all you hunters! One of my best friends recently read this and hoped for an endorsement page. He said I was spot on with who I am in my profile. I tend to agree. Lastly, I love making grass Angels, I know it?€?s inappropriate and doesn?€?t work, but a white bitch can still have dreams.",1,41-50,United States
58,"East Hampton, NY 11937, USA",hispanic,other,single,"I like to exercise, travel, treat my wife very well, classic cars, beaches, countryside, dogs.",0,51-60,United States
56,"Col??n, Panam??",black,self-employed,single,"Humble, hard-working, affectionate, sincere and very sociable",0,51-60,Panama
31,"Los Angeles, California, United States or Sweden",white,military,single,"am,social,romantic,passionate.smart,intelligent,cool headed,adaptive, have a big heart and i do believe in the truth and honesty..cause honesty is the only key to human success and with honesty..our dreams will just be the greatest and the best of all.",1,31-40,United States
51,"Everett, WA, USA",white,other,divorced,I am a writer... a composer of orchestral music .. jazz .. and also a musician... bassist...,0,51-60,United States
41,"Harrisburg, PA, USA",white,other,single,"Friendly, Caring, Loving, Hard Worker, and Fun to be around",0,41-50,United States
31,"Frankfurt, Germany",white,other,single,"Hi everybody?€?especially all you gorgeous man. yes im looking for someone to enhance my life, some who loves adventure and not afraid to try new things, someone who loves to laugh and make the most out of life as i try to do myself, some who is sincere?€?
I want my soul mate to be reliable, honest, purposeful, and having a great power of spirit. I need a mature man by my side, the one who can be my lover, confidant, and my best friend, the one whom I can trust and rely on",1,31-40,Germany
46,"San Antonio, Texas, United States",white,other,single,"I?€?m an easy going person i don?€?t like drama and i don?€?t want to engage my self on that. I like to go for dinner and also like to go for hiking, swimming, boating, most importantly i like to work so if you don?€?t like someone that works then you need to find someone else for your self.",1,41-50,United States
35,"La Chorrera, Panama",hispanic,accounting,single,"I love music, movies, sports regularly and outdoors activities like the beach and gardening.",0,31-40,Panama
59,"Puerto La Cruz, Anzo??tegui, Venezuela",hispanic,academic,divorced,"MY ONLY INTEREST IN THIS OPPORTUNITY IS TO FIND SOMEONE TO MAKE HER HAPPY, WHATEVER IT COSTS; CONVINCED AS I AM, THAT THE ONLY WAY TO BE HAPPY IS TO MAKE OTHERS HAPPY.-",0,51-60,Venezuela
53,"Los Angeles, California, United States",native american,military,widowed,I am good God fearing and honest man that look for serious relationship that will lead to marriage,1,51-60,United States
33,"Sydney, Australia",white,self-employed,single,"Am a very easy going lady who is ready for serious relationship. Am honest, caring and well trained lady, am here to find the right partner. Am here looking for a Handsome, Cute and sensible Man who can be with me and can have a relationship that can lead us to married",1,31-40,Australia
33,"New York Cities, United States",middle eastern,teacher,single,"I am a kind and loyal person,ready to love and to be loved.I am confident in myself and in all my decisions.I am very strong-willed and always ready to help people.I believe in peace in the world,and I wish all people to be happy. I like all types of music,movies,different kinds of sport,as I am visiting a sport gym all the time.I like moonlight long walks,talks under the stars, candle light dinners,looking on the stars. I like reading very much.",1,31-40,United States
35,"Egersund, Norway, or Duisburg, Germany, or Saint Cloud, Minnesota",other,self-employed,single,my name is tania i am a single with no kids and am here looking for true love with honest man to make each other happy forever,1,31-40,United States
35,"Boston, MA, USA",white,other,single,"Hello, I am a Spanish boy who is starting a new stage in Boston, I am a newcomer and I am looking for friends to go out and have a good time, I am an educated chiptunner by profession, I like cars, electronics and racing",0,31-40,United States
27,"New York, United States",black,other,single,hello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love uhello i love u,1,21-30,United States
29,"Selah, Washington, United States",white,other,single,"Am Mina from Washington, am a cool lady may be when you get at me you will find out yourself.",1,21-30,United States
54,"London, United Kingdom",white,sales,divorced,I enjoy life and am a very happy person. I enjoy and a wonderful family. I have two daughters that i have full time. I am self sufficient. But now i am at a place in my life that i would like to have someone to share my life with.,1,51-60,United Kingdom
50,"Managua, Nicaragua",hispanic,other,single,"Let it be from Nicaragua!!!! From my country. And if he is from very far away and falls in love with me, this is what I long for:

More than having a SERIOUS relationship, I am looking to have a HEALTHY relationship.

That's why I would like an initially open relationship, to get to know better the man with whom I am going to live the rest of my life.

I love processes and I have to emphasize that from my freedom I want to love, far from emotional dependence, because you and I are free, individual human beings and we seek each other to only share our essence and be happy, very very happy.",0,51-60,Nicaragua
52,"Starks, Louisiana, or Houston, Texas, United States",white,contractor,widowed,"I suppose I could say that I am a Renaissance man by nature?€?by that I mean?€?I am always learning and stretching my mind. A man who is willing to show his deepest feelings to the right woman?€?bare my soul and reveal my innermost dreams and desires. I am an extrovert by nature?€?but private about love and protective about the ones I love?€?I will always have your back. I am romantic and once given, my love grows and deepens. I will always want to hold your hand?€?look into your eyes?€?and tell you how much you mean to me?€? this is natural for me. I am not a passive participant in life and to that end I enjoy playing a sport rather than watching it?€?give me hiking?€?biking?€?tennis or fencing?€?throw in running and good loving and I am a happy well balanced man. I am funny to the point of causing you stomach pains?€?and wise in words. I know when to be serious and when to be silly?€?and I never miss the moments that count?€?or the moments you should never have to explain.",1,51-60,United States
30,"Nashville, Tennessee, United States",hispanic,other,single,"I believe in open communication, standing in our truth, being honest, and having integrity. Honoring and respecting each other is high on my list. I treat people the way I like to be treated. I believe what comes around goes around. I am a very compassionate person.
I am looking for the man that will truly love me for me, the one I can call TRUE LOVE and respect eachother always.",1,31-40,United States
43,"Managua, Nicaragua",hispanic,clerical,divorced,"nice, love landscapes, sea, walk, run and good company",0,41-50,Nicaragua
51,"Kirkland, Washington, United States",white,construction,widowed,"am a gentle and amaible person,am a good listener too",1,51-60,United States
38,"Barcelona, Espa??a",hispanic,other,single,"sincere, hard-working, family-oriented.",0,31-40,Spain
45,"Abilene, Texas, or Astoria, Oregon, United States",other,military,single,"I?€?M HONEST, CARING, AND TIRED OF BEING HURT. LOOKING FOR HONESTY, SINCERITY, AND COMMITMENT. FAMILY AND FRIENDS ARE VERY IMPORTANT TO ME. I WILL LOVE SPENDING MY TIME WITH MY WIFE, GARDENING, RELAXING OUTSIDE, TAKING PICTURES, NATURE, AND SPENDING TIME WITH THE ONE I LOVE",1,41-50,United States
46,"Portland, Oregon, United States",mixed,military,single,"well, I am supportive and caring and have a loyal and tolerant character, very humble, honest,understanding and truthful. I?€?m very passionate, physical person that would want the same in a mate, deeply romantic and optimistic",1,41-50,United States
27,"Sao Luis, Brazil",white,other,single,famattak@yahoo.com,1,21-30,Brazil
35,"Edmonton, AB, Canada",native american,retired,single,"Just checking this out. Looking for friendship and see if we get along and it can be more.. 
I'm easy going and a simple humble person... Live a nice peaceful life... Looking to share that with my future soul mate...",0,31-40,Canada
52,"Devon, UK",white,other,separated,"Kind, caring and loving. Need make company to enjoy things and days out together. 
Looking for that special man to care for me too.",0,51-60,United Kingdom
46,"Boston, Massachusetts, United States",white,fashion,single,I?€?m loving and caring woman who knows how to adore and make a man happy physical and emotional,1,41-50,United States
52,"Bogot??, Colombia",hispanic,self-employed,single,"I like the simple things that life as a couple offers, a hug, a kiss, walking hand in hand, an ice cream, etc. I am a faithful man, if faithful I am a very family-oriented person, I love to cook, make my partner happy and above all respect the woman who is by my side. I am extroverted, I have 2 girls who are the joy of my life but always thinking about myself and personal happiness.",0,51-60,Colombia
48,"New York, or Los Angeles, California, United States",white,self-employed,widowed,"Laid back easy to get along with,I can?€?t think of any one person but my creator, but I surround myself with good people that help influence me to be the decent person I am today.
I enjoy going to the movies with my kids, mountain biking, fishing, I enjoy visiting the Biltmore Estate, exploring on the Blue Ridge parkway and chasing waterfalls.
Although I?€?m a bit of an analytical thinker, I do have a compassionate side to me and enjoy good conversation with the company of others.
I enjoy travel. I enjoy outdoor activities,Except for my teens I have never worked for anyone but myself I enjoy building and fixing anything. I enjoy long walks hikes holding hands. Wine bars quaint restaurants. Making dinner with my partner. Romantic evenings, days, mornings.that an intimate relationship is between one man and one woman. One who is financially responsible and loves family. A man who keeps fit thru exercise or an active life style. Someone who will be themselves and agree we wont try to change the other.
Originally grew up in Budapest Hungary and having being living in the States for 17 years. I have a stable personal life By the Grace of God.
Friends see me as a person with integrity and genuine. I am as respectful, honest, trustworthy, dependable, caring and strong moral character as you can find in a person. I have some introvert personality but have a great sense of humor, enjoy having fun and being around people. I?€?m a christian with conservative views and values. I believe in a healthy lifestyle, no tattoos, and never experimented with illegal substances.",1,41-50,United States
29,"Bogot??, Colombia",white,technology,single,"I am a man passionate about getting ahead and having a better quality of life in the future, I am very passionate about sports and music.",0,21-30,Colombia
