gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent
female,22 y.o.,"La Paz, Bolivia",single,DianaOnofre611,hispanic,Estudiando de Universidad,-,from 21 to 25,no children,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage"
female,42 y.o.,"Maracaibo, Zulia, Venezuela",single,Nany28,hispanic,Contador y Educadora,"Amable, empatica, sociable, de contextura doble, educada, inteligente.",from 19 to 86,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship"
male,36 y.o.,"Ontario, OR 97914, USA",single,D541g,hispanic,-,-,from 19 to 86,no children,Straight,Christian,social smoker,social drinker,"Fun, Friendship"
male,41 y.o.,"Loja, Ecuador",divorced,Rafa40,mixed,Carpintero,-,from 19 to 86,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Serious Relationship
male,26 y.o.,"Tulsa, OK, USA",single,TheD81410,mixed,-,-,from 26 to 31,no children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage"
male,61 y.o.,"Calgary, AB, Canada",single,Rocket1919,white,Driver. Truck Supervisor,I’m ready for a long time now I do want to settle down I do want me next woman to be my last,from 40 to 70,more than 2 living elsewhere,Straight,Christian,light smoker,never,Serious Relationship
female,60 y.o.,"Sheridan, WY 82801, USA",widowed,glassharp392003,white,-,-,from 55 to 65,1-2 living elsewhere,Straight,Spiritual,light smoker,social drinker,Serious Relationship
female,58 y.o.,"Cologne, Germany",separated,katerynak210,white,Навчання,"Приваблива, доброзичлива, маю багато інтересів, шукаю чоловіка для сер'езних стосунків",from 56 to 62,1-2 living elsewhere,Straight,Jewish,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
female,31 y.o.,"Valladolid, Spain",single,Rosavizcarro,black,-,-,from 28 to 45,no children,Homosexual,Christian,non-smoker,social drinker,"Serious Relationship, Marriage"
female,43 y.o.,"Ust'-Kamenogorsk 070000, Kazakhstan",divorced,Beira,white,Market,-,from 35 to 48,1-2 living with me,Straight,Atheist,light smoker,occasional drinker,"Serious Relationship, Marriage"
female,46 y.o.,"2070 Cartaxo, Portugal",divorced,Paulettevieira,white,-,-,from 30 to 86,1-2 living with me,Straight,Christian,non-smoker,social drinker,Friendship
male,49 y.o.,"Lima, Perú",single,YAYO,hispanic,Ingeniero Industrial,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship"
male,41 y.o.,"Herrera, Rioblanco, Tolima, Colombia",in relationship,David4183,hispanic,Independiente,-,from 30 to 45,more than 2 living elsewhere,Straight,Christian,social smoker,never,Friendship
male,69 y.o.,"Salamanca, España",single,Pepe55,hispanic,-,"Quisiera conocer una chica de Dinamarca, educada y emocionalmente estable; deportista y con actividades sanas.
Soy lo mismo que busco.",from 55 to 66,1-2 living with me,Straight,Atheist,non-smoker,social drinker,Serious Relationship
male,24 y.o.,"Costa del Silencio, Santa Cruz de Tenerife, Spain",single,Pablo11,white,-,-,from 19 to 30,no children,Straight,Atheist,social smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship"
male,28 y.o.,"Green Bay, WI, USA",single,Thunder,mixed,-,-,from 19 to 30,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance"
male,51 y.o.,"Ciudad de México, CDMX, México",divorced,Ram3172,hispanic,Negocio propio,-,from 24 to 38,1-2 living elsewhere,Straight,Christian,social smoker,never,"Friendship, Romance, Serious Relationship"
female,35 y.o.,"Ålesund, Norway",single,ocean88,white,-,"Hi, my name is Persephone, I am looking for a friendship that can turn into a serious relationship once we get to know each other better. I love traveling, exploring the world, archeology, history, scuba diving, animals, playing video games, reading books, and looking at movies and TV shows, also I enjoy cooking.",from 22 to 45,no children,Straight,Atheist,non-smoker,social drinker,"Serious Relationship, Marriage"
female,27 y.o.,Hong Kong,divorced,lina_96,asian,Online shop,-,from 20 to 45,1-2 living with me,Straight,Other,non-smoker,social drinker,Serious Relationship
male,33 y.o.,"Madrid, España",single,Dario22,hispanic,-,Soy muy amigable con todo el mundo,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Romance
male,67 y.o.,"San Diego, CA, USA",divorced,SDFLYER1,white,Retired,-,from 35 to 57,more than 2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage"
male,37 y.o.,"Columbus, NE 68601, USA",single,Josedforever,hispanic,Welder,-,from 19 to 86,want children,Straight,Other,social smoker,social drinker,Fun
male,29 y.o.,"Chincha Alta 11702, Perú",single,Kleumy28,black,-,Hola soy Miguel tengo 28 años soy te de tes morena y busco relación seria,from 27 to 35,1-2 living elsewhere,Straight,Other,social smoker,social drinker,Serious Relationship
male,27 y.o.,"Tucson, AZ, USA",single,ChikisSolis12,hispanic,"Landscaping,","I play soccer, funny, romantic, like to make people happy n smile , always be positive even if Im going thru bad terms????",from 19 to 60,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,57 y.o.,"Barinas 5201, Barinas, Venezuela",divorced,Edgarmil,hispanic,Abogado,-,from 19 to 50,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship
male,30 y.o.,"Winterville, NC, USA",single,Mariojl,hispanic,Construcción,-,from 22 to 40,more than 2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Friendship, Serious Relationship"
male,54 y.o.,"Calgary, AB, Canada",separated,Americanuck10,white,Warehouse Associate,"Separated, after 21 year toxic marriage to what looks like a narcissist. Starting a new chapter, though I'm not sure what the future holds, and trying to focus on finding my true self again. I'm a sports fan, yet also a geek, haha, into things like gaming, Star Wars, DC, Marvel, etc.",from 30 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Fun, Friendship"
male,35 y.o.,"Oak Hill, WV, USA",single,Michael198834,white,-,-,from 19 to 40,no children,Straight,Christian,light smoker,never,Serious Relationship
male,32 y.o.,"Quito, Ecuador",single,Fidel31,black,Músico cantante,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship
male,30 y.o.,"20060 Trezzano Rosa, Metropolitan City of Milan, Italy",single,mikelo,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Friendship
male,48 y.o.,"San Sebastián, Gipuzkoa, España",single,Gorky,white,Empleado de supermercado,-,from 25 to 50,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship"
male,61 y.o.,"Buenos Aires, Argentina",divorced,Carjaloma,white,Empresario,"Soy un hombre serio, tengo muchas fantasías hechas, soy también muy Dominante, vivo en Alicante junto al mar, mi posición económica es buena, me gusta el sexo.",from 19 to 86,no children,Straight,Atheist,social smoker,never,"Friendship, Romance, Serious Relationship"
male,31 y.o.,"Caracas, Distrito Capital, Venezuela",single,Andresvenezuela,hispanic,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship, Marriage"
male,53 y.o.,"Cd Juárez, Chih., México",single,Casta1970,hispanic,Profesional consultor,-,from 19 to 86,1-2 living elsewhere,Straight,Spiritual,non-smoker,social drinker,Romance
male,55 y.o.,"Cornersville, TN, USA",separated,Huckleberryd,white,Retired/ I’m a singer songwriter,I’m just a country boy starting over looking for someone to spend time with and have fun and maybe a relationship i love to love and be loved that’s all I have ever wanted in life,from 36 to 52,1-2 living elsewhere,Straight,Christian,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship"
female,33 y.o.,"Valparaíso, Chile",single,Path,hispanic,-,-,from 29 to 38,no children,Straight,Other,non-smoker,social drinker,Serious Relationship
male,43 y.o.,"Barranquilla, Atlántico, Colombia",separated,Seductor45,mixed,-,-,from 25 to 55,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Romance"
male,59 y.o.,"Houston, TX, USA",widowed,Eddy1964,black,Farmer,-,from 55 to 62,more than 2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship
male,42 y.o.,"Dallas, TX, USA",single,Ceelow,white,Manger,I'm a funny guy hardworking respect very responsible,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,45 y.o.,"La Calera, Calera, Valparaíso, Chile",divorced,yepes,hispanic,-,-,from 38 to 70,want children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,32 y.o.,"Newark, NJ, USA",single,Ilcapo,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,"Friendship, Serious Relationship, Marriage"
male,28 y.o.,"Poza Rica de Hidalgo, Ver., México",single,Adair195,hispanic,-,-,from 27 to 29,no children,Straight,Christian,non-smoker,never,Serious Relationship
male,40 y.o.,"Cape Town, South Africa",single,TRYAGAINZ,white,-,Down to earth guy who likes to laugh and braai. Also love animals and nature.,from 38 to 50,no children,Straight,Christian,non-smoker,social drinker,Serious Relationship
male,43 y.o.,"Foley, AL, USA",single,ANDRESILLO,hispanic,Uber,-,from 22 to 50,want children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage"
male,28 y.o.,"Cali, Valle del Cauca, Colombia",single,Jefferson1995,black,Aux logistico,-,from 19 to 35,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Fun, Serious Relationship, Marriage"
male,26 y.o.,"Brooklyn, NY, USA",single,JulianF,hispanic,Construcción,"Me gustaría conocer a alguien que sepa lo que quiere en la vida 
Y que tenga principalmente metas trazadas para superarnos juntos",from 19 to 37,no children,Straight,Christian,social smoker,social drinker,"Romance, Serious Relationship, Marriage"
male,49 y.o.,"Cd Juárez, Chih., México",single,Rescas63,hispanic,-,"Serio,deportista,disciplinado trabajador y alegre",from 19 to 86,more than 2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Romance"
female,20 y.o.,"Nyíregyháza, Hungary",single,sisterromanoid,white,-,-,from 19 to 86,no children,Straight,Buddhist,non-smoker,never,"Friendship, Romance"
male,55 y.o.,"Brisbane QLD, Australia",divorced,Macdog,white,-,"I was born in England and live in Brisbane 
I'm divorced and have three grown-up kids in England 
I make plans for new projects in aviation as my job 
I enjoy tennis and swimming, cooking, playing guitar. Concerts and movies, fishing and the countryside",from 19 to 50,more than 2 living elsewhere,Straight,Other,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship"
male,63 y.o.,"San Juan, Puerto Rico",divorced,GeorgeS4282,hispanic,-,-,from 30 to 50,no children,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage"
male,58 y.o.,"Maracaibo, Zulia, Venezuela",divorced,Sierra85,native american,Comercio,-,from 50 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship
male,49 y.o.,"Bucarest, Rumanía",single,Fane,white,-,-,from 30 to 40,want children,Straight,Spiritual,social smoker,never,Serious Relationship
male,53 y.o.,"Libertador San Martín, Entre Ríos, Argentina",separated,Pabpilot52,white,Ingeniero,-,from 30 to 55,more than 2 living elsewhere,Straight,Jewish,non-smoker,never,"Friendship, Serious Relationship"
female,33 y.o.,"Cape Town, South Africa",single,Alma_mia,asian,Chef,"I’m single down to earth Filipina with a good heart, I’m kind understanding loving and caring and well family oriented. Playful and cheerful with a good sense of humor, I’m hardworking, I enjoy nature and healthy living, a good cook and naturally a happy person, so feel free to contact me and let’s get to know each other better.",from 50 to 86,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage"
male,37 y.o.,"Tirana, Albania",divorced,Serge123,white,-,-,from 19 to 28,no children,Straight,Other,non-smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,70 y.o.,"Spokane, WA, USA",divorced,TimE,white,Retired Plumber,-,from 30 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship"
male,53 y.o.,"Torredembarra, Tarragona, España",divorced,Hispano21,white,Funcionario,"Busco una mujer para compartir la vida , que le guste la naturaleza y la vida rural, que sea femenina y educada, con sentido del humor y positiva",from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,social drinker,Serious Relationship
male,41 y.o.,"Lexington, KY, USA",separated,Charles40517,white,Plumber,-,from 19 to 50,more than 2 living elsewhere,Straight,Christian,social smoker,occasional drinker,Fun
male,47 y.o.,"Cork, Ireland",separated,Barry,white,Factory,-,from 19 to 86,1-2 living with me,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,49 y.o.,"Mexico City, CDMX, Mexico",divorced,Tioi,pacific islander,-,-,from 19 to 86,no children,Homosexual,Jewish,light smoker,occasional drinker,"Fun, Friendship"
male,36 y.o.,"Arequipa, Perú",single,amerioz,hispanic,-,100 % sociable y respeto mucho a mi semejante,from 20 to 44,no children,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship"
male,21 y.o.,"46800 Játiva, Valencia, España",single,Salvaxtv,white,Estudiante,Me gusta mucho salír pádel música playa,from 19 to 86,want children,Straight,Christian,non-smoker,social drinker,Serious Relationship
male,69 y.o.,"Delray Beach, FL, USA",divorced,Eddie55,hispanic,-,-,from 19 to 86,no children,Straight,Other,non-smoker,never,"Friendship, Romance"
female,43 y.o.,"Córdoba, Cordoba, Argentina",single,Cielo750,white,Analista,-,from 37 to 50,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage"
male,44 y.o.,"Miami, Florida, EE. UU.",single,Osmel,hispanic,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage"
male,52 y.o.,"Ottawa, Ontario, Canadá",single,Ferchomex,hispanic,Contrucción,"Soy un hombre espiritual,hombre fiel , alegre, busco pareja que quiera una relación seria de respeto.",from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship
