,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
2440,female,36 y.o.,"Kyiv, Ukraine, 02000",single,DianaGr,white,Pr coordinator,-,from 32 to 42,no children,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",ALBANIA
2515,female,51 y.o.,"Kyiv, Ukraine, 02000",separated,Anastasiia2012,white,-,-,from 38 to 50,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ALEMANIA
2688,female,35 y.o.,"Kyiv, Ukraine, 02000",single,Pandochka,white,Diplomatic,-,from 30 to 40,want children,Straight,Spiritual,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",ALEMANIA
2904,female,43 y.o.,"Kyiv, Ukraine, 02000",single,Aleksandra_Kiev,white,-,-,from 35 to 50,1-2 living with me,Straight,Christian,non-smoker,never,Serious Relationship,ALEMANIA
2929,female,43 y.o.,"Kyiv, Ukraine, 02000",single,Olichka,white,-,-,from 35 to 67,no children,Straight,Other,light smoker,social drinker,"Friendship, Serious Relationship",ALGERIA
2941,female,35 y.o.,"Kyiv, Ukraine, 02000",single,Inne,white,-,-,from 30 to 45,want children,Homosexual,Christian,non-smoker,social drinker,Serious Relationship,ALGERIA
2978,male,42 y.o.,"Kyiv, Ukraine, 02000",divorced,abdelmoutaleb,middle eastern,-,-,from 28 to 36,want children,Straight,Muslim,non-smoker,never,"Serious Relationship, Marriage",ALGERIA
2988,female,43 y.o.,"Kyiv, Ukraine, 02000",married,Lyasya,white,-,-,from 35 to 43,1-2 living with me,Straight,Christian,light smoker,never,Friendship,ALGERIA
3160,female,38 y.o.,"Kyiv, Ukraine, 02000",single,Juliya_ash,white,-,-,from 35 to 45,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Serious Relationship",ALGERIA
3823,female,27 y.o.,"Kyiv, Ukraine, 02000",single,AnastasiaBo,white,-,-,from 25 to 35,no children,Straight,Atheist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",ALGERIA
3894,female,44 y.o.,"Kyiv, Ukraine, 02000",single,Marinamv777,white,Lawyer,"I am attractive, open-minded, internstional-oriented and romantic",from 33 to 43,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ALGERIA
4013,female,49 y.o.,"Kyiv, Ukraine, 02000",divorced,natalial,white,-,-,from 46 to 55,1-2 living elsewhere,Straight,Christian,social smoker,social drinker,"Serious Relationship, Marriage",ALGERIA
4520,female,42 y.o.,"Kyiv, Ukraine, 02000",divorced,olgakiev,white,manager,"I really love life, and I believe that everyone finds their happiness only need to wait and be ready for it. Common interests, mutual respect, trust and skill care is what I want to have with my partner.",from 35 to 50,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ALGERIA
4577,female,43 y.o.,"Kyiv, Ukraine, 02000",single,Natalishka,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,light smoker,social drinker,Serious Relationship,ALGERIA
6587,female,51 y.o.,"Kyiv, Ukraine, 02000",divorced,Ellis_1308,white,It,-,from 44 to 58,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,"Romance, Serious Relationship, Marriage",ALGERIA
7209,female,27 y.o.,"Kyiv, Ukraine, 02000",single,Regina6alisa,white,-,-,from 19 to 86,no children,Straight,Atheist,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ANDORRA
7542,female,57 y.o.,"Kyiv, Ukraine, 02000",divorced,TatianaSava,white,administrator in the clinic,"Hello! I am a pretty, romantic and wise woman! I love nature, travel, my children and creativity. I create jewelry for women from wool and silk.",from 50 to 72,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",ANDORRA
8344,female,59 y.o.,"Kyiv, Ukraine, 02000",divorced,AnnaTrue,white,manager,"The world is so great, and as it's sometimes, being very difficult for two alone hearts to unite?€? If you are the same, who I waiting all these years, if you are kind, tender, loving, honest, understanding, then don't lose yourself chance to stay the very happy man. I am the same woman, about who you dreaming every evening, when go to your cold bed. Without who you feel boredom even in the very merry company your close friends. And the sun is not such warm and lovely already, and rain is cold and prickly, and a food lost the test for a long time already?€? So stop on one moment and think about: What is our life?? This is only one moment between past and present time?€? And how is it excellent, that we have such wonder , as Internet! How much I thankful to him, that he gave me possibility to meet You. I wish to kindle the bonfire of our Love. 
I search only 1 thing: sincerity. I don't want to play ""cat and mouse"" game!",from 55 to 68,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ANDORRA
10450,female,52 y.o.,"Kyiv, Ukraine, 02000",single,Toma71,white,-,-,from 19 to 86,no children,Straight,Christian,light smoker,never,"Serious Relationship, Marriage",ANGOLA
10697,female,35 y.o.,"Kyiv, Ukraine, 02000",single,Anastasia_45,white,??????????,-,from 35 to 60,no children,Straight,Other,non-smoker,occasional drinker,"Romance, Serious Relationship",ANGOLA
10720,female,33 y.o.,"Kyiv, Ukraine, 02000",single,ulita_kj,white,-,-,from 32 to 39,want children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",ANTIGUA AND BARBUDA
10758,male,34 y.o.,"Kyiv, Ukraine, 02000",divorced,Vetal,white,-,-,from 34 to 34,1-2 living elsewhere,Straight,Christian,social smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",ANTIGUA AND BARBUDA
10929,female,48 y.o.,"Kyiv, Ukraine, 02000",divorced,alenika745,white,???????€??,-,from 45 to 55,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Romance, Serious Relationship",ANTIGUA AND BARBUDA
10956,female,61 y.o.,"Kyiv, Ukraine, 02000",widowed,Alla29,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ANTIGUA AND BARBUDA
10991,female,31 y.o.,"Kyiv, Ukraine, 02000",single,oksiluna,white,intetnational evonomist,-,from 31 to 61,no children,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ANTIGUA AND BARBUDA
11576,female,36 y.o.,"Kyiv, Ukraine, 02000",divorced,Amina1113,white,Journalist,-,from 33 to 57,no children,Straight,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
11632,female,22 y.o.,"Kyiv, Ukraine, 02000",single,Katherine_,white,-,"Hi. Some people told me that I'm a big, but loveable goofball, so I'll stick with that. Also, I just love meeting new people, so nice to meet you, stranger! (o^???^o)
And... I'm kinda shy, so let's talk first and get to know each other, thx for your consideration and understanding! 
(??? ????€??????????€???? ???)",from 19 to 30,no children,Straight,Atheist,non-smoker,social drinker,"Fun, Serious Relationship, Marriage",ARGENTINA
11693,female,49 y.o.,"Kyiv, Ukraine, 02000",widowed,Natali48,white,?????????????€????,-,from 40 to 50,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
11893,male,42 y.o.,"Kyiv, Ukraine, 02000",divorced,ElenPuh,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
12496,female,46 y.o.,"Kyiv, Ukraine, 02000",divorced,Ekateryna,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Marriage,ARGENTINA
13068,female,35 y.o.,"Kiev, Ukraine, 02000",single,Alina_,white,-,-,from 30 to 40,want children,Straight,Christian,non-smoker,social drinker,"Romance, Serious Relationship",ARGENTINA
14190,female,42 y.o.,"Kiev, Ukraine, 02000",divorced,Dariia,white,-,"I'm doctor, child neurologist. I have 2 daughters, 16 and 12 years old. Hobby - bikes, motorcycle, yoga",from 32 to 48,1-2 living with me,Straight,Christian,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
15270,female,50 y.o.,"Kyiv, Ukraine, 02000",divorced,Gvf,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
10962,female,37 y.o.,"Fastiv, Kyiv Oblast, Ukraine, 08500",single,Victoriia36,white,-,-,from 19 to 86,more than 2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
831,female,57 y.o.,"Vasylkiv, Kyiv Oblast, Ukraine, 08600",divorced,Nikvika,white,???€????????????????????????,"Hello, my name is Victoria. I am not young, not perfect, but optimistic enough. I love nature, mountains, sea, black chocolate. Pets, a dog and a cat, always live with me. All my life I have lived in the city. Quarantine and war forced me to move to the countryside. Now I don't want to go back to the city. Nature, fresh air, my own garden, my dog walks freely on the property. I traveled the world for a long time. Now I want peace and stability",from 55 to 86,no children,Straight,Christian,social smoker,social drinker,"Friendship, Serious Relationship",ARGENTINA
12053,female,57 y.o.,"Vasylkiv, Kyiv Oblast, Ukraine, 08600",divorced,Nikvika,white,???€????????????????????????,"Hello, my name is Victoria. I am not young, not perfect, but optimistic enough. I love nature, mountains, sea, black chocolate. Pets, a dog and a cat, always live with me. All my life I have lived in the city. Quarantine and war forced me to move to the countryside. Now I don't want to go back to the city. Nature, fresh air, my own garden, my dog walks freely on the property. I traveled the world for a long time. Now I want peace and stability",from 55 to 86,no children,Straight,Christian,social smoker,social drinker,"Friendship, Serious Relationship",ARGENTINA
8583,female,50 y.o.,"Bila Tserkva, Kyiv Oblast, Ukraine, 09100",single,VikKKi,white,-,"?????????? ?????????? ?????????????????? ???? ??????????????????.
?? ?????€?????? ?? ????????????????.?????????? ????????????????????????????.",from 40 to 60,no children,Straight,Christian,non-smoker,never,Marriage,ARGENTINA
14975,male,40 y.o.,"Zhytomyr, Zhytomyrs'ka oblast, Ukraine, 10001",single,Alexey83,white,IT,-,from 23 to 36,no children,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship",ARGENTINA
8052,female,55 y.o.,"Chernihiv, Chernihiv Oblast, Ukraine, 14000",divorced,Olena_arte,white,-,-,from 50 to 86,1-2 living with me,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",ARGENTINA
3967,female,34 y.o.,"Chernihiv, Chernihivs'ka oblast, Ukraine, 14039",divorced,Julia_89,white,The assistant manager,-,from 35 to 45,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
4381,male,65 y.o.,"Cherkasy, Cherkasy Oblast, Ukraine, 18000",divorced,Carlos1313,white,-,-,from 30 to 46,no children,Straight,Atheist,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship",ARGENTINA
10644,female,46 y.o.,"Cherkasy, Cherkasy Oblast, Ukraine, 18000",single,Innesa,white,-,"I am a honest , kind, loyal, calm, gentle and positive person.)) I would like to create a cozy home to stay with my loved one, holding hands and looking into his eyes. I can love endlessly and exclusively and would treat me the same way. To me kindness and trust are very important. I want us to always treat each other with love and kindness. Trust is easy to lose and it is never possible to get it back. I want our home to be the best place in the whole world.",from 46 to 56,no children,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
6824,female,53 y.o.,"Vinnytsia, Vinnytsia Oblast, Ukraine, 21000",in relationship,Radmira,white,-,???????? ?????????? ?????€?????????????? ?? ?????????????????? ???€??????. ???????? ?????????? ?? ?????????????? ???? ????????????!,from 38 to 66,no children,Straight,Christian,non-smoker,never,Serious Relationship,ARGENTINA
9710,female,31 y.o.,"Vinnytsia, Vinnytsia Oblast, Ukraine, 21000",single,Vitalina,white,-,Appreciate sincerity and trust. When I have some free time go to the gym. Dreaming to travel around the world),from 27 to 37,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
9935,male,54 y.o.,"Vinnytsia, Vinnytsia Oblast, Ukraine, 21000",divorced,yuriy,white,-,-,from 30 to 50,1-2 living with me,Straight,Christian,social smoker,social drinker,"Friendship, Serious Relationship",ARGENTINA
14216,female,48 y.o.,"Vinnytsia, Vinnyts'ka oblast, Ukraine, 21000",-,lena23,-,-,-,from 36 to 46,-,-,-,-,-,"Friendship, Romance, Serious Relationship",ARGENTINA
7878,female,36 y.o.,"Kropyvnytskyi, Kirovohrad Oblast, Ukraine, 25000",single,Svitlana_Ukraine,white,-,-,from 33 to 40,1-2 living with me,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
8628,male,38 y.o.,"Khmelnytskyi, Khmelnytskyi Oblast, Ukraine, 29000",single,Mitnik,white,IT,"Due to my bitter past experience of searching for bride online I would like to clarify some important things at first.

LADIES FROM RUSSIA AND UKRAINE ARE NOT DESIRED. Anyway I wish to all of you good luck with other guys. I am interested in ASIAN girls with real profiles only.

-I am Seventh-Day Adventist, SDA is Protestant Christian denomination.
-I am a believer and my faith is important for me.
-It is not a problem if you are not of my faith as my religion allows to marry girls from other religions because they may be converted into my faith, but I am looking for VIRGIN girl/woman.

-I can only become your HUSBAND, not DAD, not SPONSOR, not GIGOLO, not PLAYBOY, not ONLINE-LOVER, not FRIEND etc.
-I will be making serious steps towards marriage, not excuses. The same I expect from you.
-I don't cheat or lie neither online nor in real life when I am in official relation and in general. The same I expect from you.
-I won't ask you to send me money. The same I expect from you. If I like to help I will offer.
-I won't tell you any dirty things. The same I expect from you.

Thank you for understanding.

If you dislike something in written above or, you find written above offensive or, not fair, then, sorry, just skip my profile and ignore any messages from me, because I'm here, to find and marry an HONEST, FAITHFUL, LOYAL, MATURE girl. A girl that wants and is ready to start FAMILY and to become a good WIFE and MOTHER, who really needs a MAN and HUSBAND. A girl who really wants to spend her life with her man. A person which will be MAKING REAL STEPS for that.

If LOVE, MARRIAGE, FAMILY, HUSBAND, HONESTY, LOYALTY, FAITHFULNESS really mean something for you, if these words, ideas are part of your system of values of your life, and you respect believe in this and seek this in your life then I definitely may be interesting for you.",from 19 to 33,want children,Straight,Christian,non-smoker,never,Marriage,ARGENTINA
12622,female,35 y.o.,"Khmelnytskyi, Khmel'nyts'ka oblast, Ukraine, 29000",single,innasparrow,white,-,-,from 30 to 45,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
819,female,40 y.o.,"Poltava, Poltava Oblast, Ukraine, 36000",divorced,Anasko,white,-,-,from 38 to 55,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
4399,female,57 y.o.,"Poltava, Poltava Oblast, Ukraine, 36000",single,ludmilaBybkaludmila,white,-,-,from 50 to 65,don't want children,Straight,Spiritual,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
11878,female,38 y.o.,"Poltava, Poltava Oblast, Ukraine, 36000",single,Yana17,white,-,-,from 30 to 86,1-2 living with me,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
1107,female,35 y.o.,"Kremenchuk, Poltava Oblast, Ukraine, 39600",in relationship,Marina85009,white,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Jewish,social smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
8579,female,37 y.o.,"Kremenchuk, Poltava Oblast, Ukraine, 39600",single,Kassandra,white,bank,"Kind, romantic, cheerful with a sense of humor. I like people with a good sense of humor ; )",from 30 to 40,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
11667,female,35 y.o.,"Kremenchuk, Poltava Oblast, Ukraine, 39600",in relationship,Marina85009,white,-,-,from 19 to 86,more than 2 living elsewhere,Straight,Jewish,social smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
2460,female,52 y.o.,"Sumy, Sums'ka oblast, Ukraine, 40000",divorced,Replery,white,-,-,from 48 to 68,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
1026,female,45 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",single,Hrosu,white,????????????????????/ ?????€??????????,-,from 39 to 49,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",ARGENTINA
4105,female,49 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",divorced,kolesnik,white,-,-,from 40 to 45,no children,Straight,Christian,light smoker,never,Serious Relationship,ARGENTINA
4236,female,38 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",divorced,AlenaLy,white,-,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
6842,female,47 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",widowed,Nikoly,white,-,-,from 45 to 55,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",ARGENTINA
9102,male,36 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",single,AlanAly,middle eastern,-,-,from 19 to 86,no children,Straight,Muslim,social smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
10680,female,45 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",single,Hrosu,white,????????????????????/ ?????€??????????,-,from 39 to 49,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship",ARGENTINA
11178,female,32 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",single,Kate_A,white,-,-,from 30 to 45,no children,Straight,Atheist,light smoker,occasional drinker,"Friendship, Serious Relationship",ARGENTINA
13097,female,26 y.o.,"Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",divorced,Irena8,white,-,-,from 45 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Marriage,ARGENTINA
1472,female,32 y.o.,"Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine, 50000",divorced,Katerina26,white,-,-,from 28 to 40,1-2 living with me,Straight,Christian,non-smoker,social drinker,Serious Relationship,ARGENTINA
13038,female,43 y.o.,"Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine, 50000",single,Larissa80,white,-,-,from 37 to 86,no children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship, Marriage",ARGENTINA
9875,female,35 y.o.,"Pavlohrad, Dnipropetrovsk Oblast, Ukraine, 51400",single,Liza89,white,-,-,from 30 to 40,no children,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
1095,female,59 y.o.,"Kamianske, Dnipropetrovsk Oblast, Ukraine, 51900",divorced,LIUBOV1964,white,"????????????, ?????????????€????, ?????€?????? ????????",-,from 55 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
11509,female,59 y.o.,"Kamianske, Dnipropetrovsk Oblast, Ukraine, 51900",divorced,LIUBOV1964,white,"????????????, ?????????????€????, ?????€?????? ????????",-,from 55 to 65,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
1,female,42 y.o.,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",single,uaola1981,white,-,-,from 19 to 75,no children,Straight,Other,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
770,male,26 y.o.,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",single,Elena_28,white,-,-,from 30 to 86,no children,Straight,Christian,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",ARGENTINA
11010,female,43 y.o.,"Mykolaiv, Mykolaiv Oblast, Ukraine, 54000",divorced,Tana,asian,-,???????? ?????????? ?????????????? ?????? 41 ?????? ???????€???? ??????????????????????????,from 41 to 56,1-2 living with me,Bisexual,Christian,non-smoker,occasional drinker,Serious Relationship,ARGENTINA
10004,female,24 y.o.,"Chernivtsi, Chernivtsi Oblast, Ukraine, 58000",single,Lia293,white,????????????,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Romance, Serious Relationship",ARGENTINA
247,female,36 y.o.,"Odesa, Odesa Oblast, Ukraine, 65000",single,Useer1233445,white,-,-,from 25 to 38,no children,Straight,Atheist,non-smoker,never,Fun,ARGENTINA
820,female,48 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",divorced,Annetta,white,communications engineer,-,from 49 to 60,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
1822,female,34 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",single,Alina_malina,white,Fitness trainer,-,from 31 to 55,no children,Straight,Christian,non-smoker,social drinker,"Serious Relationship, Marriage",ARGENTINA
2022,female,36 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",separated,AlenaGracciotova,white,Lawyer,-,from 35 to 50,1-2 living with me,Straight,Christian,non-smoker,social drinker,Friendship,ARGENTINA
2397,female,64 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",single,ekaterinag,white,-,-,from 55 to 86,no children,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
2805,female,57 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",widowed,55radost55,white,teacher,-,from 50 to 67,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,ARGENTINA
2942,female,40 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",divorced,Katrina7777,white,-,-,from 30 to 50,1-2 living with me,Straight,Other,non-smoker,never,Marriage,ARGENTINA
3025,female,40 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",single,Dolma1983,white,-,-,from 30 to 50,1-2 living with me,Straight,Christian,non-smoker,social drinker,"Fun, Friendship, Serious Relationship, Marriage",ARGENTINA
3286,female,63 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",divorced,lightall,white,economist,-,from 50 to 70,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,ARGENTINA
4385,female,57 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",divorced,janna1313,white,-,"?????????? ?????????? ??????????, ???????????????? ??????, ?????????? ???????????????? ?? ???€?????????????? ????????????, ???€???????????? ???? ???€???€?????? , ????????????????)))",from 35 to 65,1-2 living with me,Straight,Spiritual,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
4511,female,30 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",single,Elina11,white,-,-,from 29 to 40,no children,Straight,Atheist,light smoker,never,"Friendship, Marriage",ARGENTINA
8169,female,51 y.o.,"Odesa, Odessa Oblast, Ukraine, 65000",single,Monako,white,-,-,from 19 to 86,1-2 living elsewhere,Straight,Christian,non-smoker,never,Serious Relationship,ARGENTINA
10941,female,35 y.o.,"Odesa, Odesa Oblast, Ukraine, 65000",single,Alisa777,white,-,-,from 30 to 49,1-2 living with me,Straight,Christian,non-smoker,never,Fun,ARGENTINA
14931,female,30 y.o.,"Odessa, Odessa Oblast, Ukraine, 65000",single,DeNika,white,Psychology,-,from 26 to 32,want children,Straight,Christian,non-smoker,occasional drinker,Marriage,ARGENTINA
7170,female,35 y.o.,"Bilhorod-Dnistrovs'kyi, Odessa Oblast, Ukraine, 67700",divorced,yunkabi,white,office-manager,"I am trying to keep good mood always. For this purpose I try not to think of anything bad, and see rather positive than negative in people. Besides, I have a good sense of humor which helps me in some situations. I can be funny, full of jokes and I can be calm and thoughtful.",from 34 to 60,1-2 living with me,Straight,Christian,non-smoker,never,"Romance, Serious Relationship, Marriage",ARGENTINA
2725,female,42 y.o.,"Zaporizhzhia, Zaporiz'ka oblast, Ukraine, 69061",single,ksyusha,white,-,-,from 19 to 86,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
3940,female,55 y.o.,"Zaporizhzhia, Zaporizhia Oblast, Ukraine, 69061",widowed,Marinafel,white,-,"ei ! Jeg heter Marina. Jeg er en snill og omsorgsfull dame som vil finne en god venn med liker interesser, livsstil og verdigheter. Jeg setter veldig stor pris p?? familie , s?? derfor respekterer jeg folk som gj??r det samme . Jeg har dattera som bor i Norge, s?? derfor er jeg litt kjent med norsk kultur. Men veldig interessert til ?? f??r vite og oppleve litt mer .",from 48 to 62,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Friendship, Serious Relationship",ARGENTINA
4595,female,57 y.o.,"Zaporizhzhia, Zaporiz'ka oblast, Ukraine, 69061",separated,DmNata,white,-,-,from 52 to 58,no children,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",ARGENTINA
8747,female,48 y.o.,"Zaporizhzhia, Zaporizhia Oblast, Ukraine, 69061",single,Tatiana20,white,-,-,from 33 to 46,1-2 living with me,Straight,Spiritual,non-smoker,never,Marriage,ARGENTINA
