age,location,ethnicity,occupation,status,description,scam,age_group,country
70,"Cartagena, Cartagena Province, Bolivar, Colombia",white,other,divorced,"Recently divorced and seeking a Latin Senorita for fun, friendship, and romance. My 1st visit to Columbia. I am in love with the country already. I am a World Traveller looking for adventure and new cultures. Contact me.",0,71-80,Colombia
55,"Forida, United Kingdom",native american,self-employed,divorced,markluis230@gmail.com,1,51-60,United Kingdom
37,"Miami, Florida, United States",white,accounting,single,I am a person who looks beyond what may be the obvious… Characteristic worth more than flashiness. I am a person who appreciates honesty and a great sense of humor. I love to laugh and to enjoy the simple things in life…. I would appreciate a person who has a good sense of who he is and a sense of direction about where he wants to be. I can appreciate a man who sees a woman as a friend and a partner.,1,31-40,United States
56,"Paphos, Cyprus",white,engineering,divorced,"Active, healthy, average body. Good sense of humour.",0,51-60,Cyprus
49,"Los Angeles, California, United States",Native American,other,single,"HELLO MY NAME IS STEVEN…49YRS OLD MAN….i like walking on the beach side during the day…5″6ft tall,dark hair,brown eyes,single. am a very confident man… i don’t like cheating…I’m here to look for good woman that is very caring lovely and respectful…. however i would love to meet a passionate woman with good sense of honor",1,41-50,United States
28,"New York, or Miami, Florida, United States, or Canberra, Australia",native american,sales,single,"I am a laid back person who loves to have fun with friends, travel, and meet new people. however I do not want to pay for this app. if enjoy a good conversation better meet me here: purpleviolet986(@) GmailiL. I also enjoy fitness and trying new foods. I like to be outdoors playing sports or running. Looking for someone genuine and active. I am looking my first love 🙂",1,21-30,Australia
40,"San Miguel de Allende, Gto., México",hispanic,engineering,separated,easy-going person with good feelings and respect for women,0,41-50,México
35,"Kabul, Afghanistan",native american,military,single,"I love to laugh and to enjoy the simple things in life. I want to give all my love to someone special, waiting for someone walk in my heart and be there for the rest of my life. I am a positive man down to earth with a good sense of humor…I’m sociable, friendly and easy-going…chat at: nichole_washburn@outlook.com",1,31-40,Afghanistan
71,"Louisville, KY, USA",asian,retired,separated,"I am 65 years old 5' 11"" 185 lbs I am a Chinese American who served in the US military. I am retired. I have three kids and they are all finished college with a master's degree and doctoral degree. My Son is a Medical Doctor with a degree of Doctor of Medicine. I used to teach college physics, calculus and electronics. My wife left me(moved out ) 7 years ago to live with her girlfriend. That is a nutshell of me. As you can see, I value education and family life. As for my future, I believe that God will provide and direct me in His ways. I am a very religious person. I believe in Jesus and not ashame to tell you that I am one of His Children. You can talk to me about God. I can befriend with anyone. Age is just a number. True love should not worry about rich or poor. Outer appearance can be changed overnight. Only what is beauty inside is eternal All others are meaningless. Continue to keep your beauty inside.",0,71-80,USA
38,"Chișinău, Moldova",white,other,single,"I like to consider myself someone who can relate to anyone and any culture and background. It allows me to make very personal connections with everyone I meet. I have a quick wit and love to laugh about everything under the sun. 
I like travel, tennis, read books, sewing clothing, painting by numbers, play with my dog, spend time with parents and friends, sport Pilates, cooking yummy food and bake cupcakes, i like two candles on a table good music and deep conversations.
I am looking for a genuine mental connection, a real relationship with someone special, I am interested in quality, not quantity, I value thoughtful and passionated people with great conversational skills and good sense of humor.
I’m looking for a partner in crime to make some great memories. Chemistry is really the only thing that matters to me. Trips, dinners, etc are always better with the right person. Wouldn’t you agree? 
If you have arrived on my profile you can continue reading you will like it , if you don’t then anyways I won’t know. LOL
Well pleasure, fun, happiness and deep experiences we all seek. I look to create together some Fun filled, good times , enjoyable deep conversations, long walks and mutual pleasure .
Indeed all of this with su** to it , hmm I guess that does make a good package.
Enjoying life and love to travel, seeing what the world has to offer. The world is a book and those who do not travel, read only a page! 
Live every minute of my life like it is the last one, very optimistic hunger of life ... no excuses and travel with no regrets. 
The grass is greener where you water it ... so we must take control of your life and start watering our own pastures and grow our own greener grasses. The universe is always seeking balance. 
My goal in life is Happiness, Harmony, Peace, Traveling discover the world. I'd like to think that I am half way there. I am grateful to be alive! 
You only live once, but if you do it right, once is enough! 
I wish you all success in your search!",0,31-40,Moldova
32,"San Diego, California, United States",white,self-employed,single,"I am an active person and always try to be in motion. I have a lot of friends. I am serious about my future and I do know what I want from this life. I am not a material woman and I joined this service to meet my soul mate only. It seems I know what to do in order to make my beloved happy. I am looking for responsible honest caring, loving, God fearing and marriage minded man that is ready to settle down with me and committed a long term relationship if you are the type.I’ll love to meet a genuine ,matured,loving and caring man , who knows how to take care of a woman. I’m looking for a serious relationship , where age doesnt matter but a mutual respect and feeling for eachother.Someone who has a good heart ,generous .Hope i can meet him here , i know he’s here. And My Heart is Opened for you",1,31-40,United States
46,"Bratislava, Slovakia, or Egypt",hispanic,academic,single,"My self-introduction
I’M Caring,Faithful,Loyal,Truthful,Loving,Generous,Goals Achiever,Honest,Spiritual oriented,Future driven,Confidential,Understands the ups and downs of life,Committed to relationship,Reader, Visionary,Conservative,Passionate,Romantic,sexy and loving.. I’m a good cook.
I’m seeking a serious long term relationship and more. Someone who is responsible, respectful, can take care of themselves, and who is employed.special to capture my heart and knows how to handle it with care, one who will cherish me and be willing to share life’s greatest joys and sorrows.",1,41-50,or Egypt
39,"Pucallpa, Peru",hispanic,technology,single,"I am a person with a big heart to love, I am happy and fun, I would like to meet that person to be able to share dreams, goals...",0,31-40,Peru
51,"Louisville, Kentucky, United States",white,medical,divorced,"I am loving, honest and caring person with a good sense of humor, I enjoy meeting new people and knowing their way of life, I enjoy watching the sea waves and the beauty of the mountains and everything that nature has to offer.",1,51-60,United States
49,"St. Louis, MO, USA",hispanic,teacher,separated,"I am honest, a hard worker, I live with a 12-year-old son, I am looking for a sincere lady with her feet on the ground.",0,41-50,USA
68,"Lima, Peru",hispanic,other,divorced,"HELLO, it is a pleasure to say hello, I would like to establish a serious relationship with you, I am an Electronic Engineer specialized in telecommunications systems and computer systems, please send a message to me.
Thank you
FREDDY",0,61-70,Peru
34,"Frankfurt, Germany",white,self-employed,single,"I enjoy drawing, Painting, Cooking, Sports, Road Walks, Biking, Hiking,Beaches, Some shopping, But most of all – spending time at home with someone special Who I wait to met online someday. That person will be someone who is extremely honest, because I am looking for a man who is absolutely ready to be with a genuine and extremely a real woman, someone who is ready to have a real fun ..",1,31-40,Germany
63,"Greensboro, NC, USA",white,teacher,single,"Ready for Love and Commitment 

I am a very intelligent and well educated man who is very good at making people laugh. If you like a man who is open with his thoughts and feelings and is always concerned about yours and your well being, you would feel very comfortable with me. I grew up in a very warm and loving home and am very family oriented

I am a piano and math teacher with Master's degrees in music and economics. I have my own home based business where students come in for private lessons and tutoring. I am very outgoing and pleasant, good with people.

I am looking for a woman who appreciates my personal qualities described above. Someone who is fundamentally kind, affectionate, full of life and who like me is fair minded, flexible, believes in talking things over and who is unselfish and so does not have to have her way in every situation. A woman who prefers honesty and is capable of admitting a mistake. As I am seeking these qualities I consider myself obligated to live up to them myself and so be deserving of such a woman.",0,61-70,USA
47,"Cape Town, South Africa",mixed,self-employed,divorced,I'm honest decent loving. Love kids I'm hard working I'm loyal faithful to one woman.,0,41-50,South Africa
24,"Nashville, MI 49073, USA",white,manufacturing,single,I am outgoing spontaneous and adventurous I love the outdoors I am very family oriented and down to earth and I think of myself as optimistic.,0,21-30,USA
48,"New York, United States",white,medical,widowed,"I am a fun loving person. I am a very caring and sensitive person, I am a level headed, down to earth person who is totally devoted to the one I love. I tend to be shy at first, but I will open up quickly with the right person.I am confident, calm, and happy. An introvert by nature, I am quiet, structured, and organized. i think i’m a pretty easy going person. I love to be shown affection and don’t have any problem whatsoever showing the right person lots of of it, i always say if its better to give than to receive. I think that i have a pretty “strange” sense of humor at times. i look at it this way i’d rather make a joke than to sit around and dwell on things i can’t do much of anything about.I literally despise people who put on or lie about things and think they can get away with it where i’m concerned.I consider myself a sensitive, kind, and gentle person who enjoys being with people. I like going to the movies, listening to music, taking long walks on the beach.Favorite activities are going to the movies,taking walks the beach, being healthy. Most of all I love to be romantic for that special someone.I am looking for my one and only. I believe for every person there is a soul mate. I am looking for mine. she needs to be fun loving yet responsible, loves the outdoors and sitting at home cuddling while watching a movie.The woman i’m looking for would have to be romantic, caring, sincere, spontaneous, affectionate, loves to cuddle and give great lip action. someone who is not afraid to speak her mind, not in to head games, like to just take it easy on those lazy days but when work needs to be done she’s not afraid to get her hands dirty. i love a woman that smells good (cologne wise,lol) she must also have a killer smile and to-die-for eyes. i’m looking for a woman that knows what she wants and isn’t afraid to ask for it but doesn’t come on too strong! she should also know how to treat a man like he is supposed to be treated.",1,41-50,United States
45,"Regensburg, Germany",white,real estate,single,I like travel sports motorcycle diving playing guitar shopping restaurants coffee,0,41-50,Germany
40,"Louisville, KY, USA",white,self-employed,single,A little bit of myself I am 39 years old but I'm looking forward whatever time you comes I don't have no type just a person that cares and loving except me and my kids,0,41-50,USA
50,"Sheffield, UK",white,clerical,single,"Bold, confident and somewhat eccentric. I love rain, drum beats and travel.",0,51-60,UK
52,"San Antonio, Texas, EE. UU.",hispanic,finance,single,"Cheerful, sincere, homely, romantic",0,51-60,EE. UU.
54,"Texas, United States",mixed,medical,widowed,"My friends consider me to be an affectionate, romantic, loving, independent, educated, attractive and caring Guy who likes to play tennis, golfing, and taking long walks to enjoy the outdoors. I like reading a good book for relaxation and also enjoy the company of others.I’m looking for someone to spend the rest of my life with joy and accomplishment. email me and let me know how to get back to you as am here on a three day trial dont think I will continue after now unless I find you.what more can I say, I’m a CATCH! ha! I have a great smile,am also sexy bodied, beautiful eyes and I can be pretty damn funny! I love to laugh. I tend to see the humor and beauty in everyday situation. Life can be quite amazing with the rightful Partner…",1,51-60,United States
60,"Los Angeles, California, United States",white,military,widowed,"I’m simple, kind, loyal, serious, focus, dependable, down to earth, ambitious, truthful, trusting and honest.I’m a simple man that enjoy simple things in life from cooking, hiking, travel at adventure, reading, motor sports and Charity.",1,61-70,United States
49,"Filandia, Quindío, Colombia",white,other,separated,"Affectionate, calm, dedicated to my partner, responsible,",0,41-50,Colombia
